ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重,VO2Max
5,04:42.4,23:08,1,4:42:00,,184,191,,,,,,,173,200,左 46.5%／右 53.5%,1.23,7.9,6.4,68,,4:16:00,176,4:42,4:42:00,177,60,62
6,04:35.2,27:43:00,1,4:35:00,,190,196,,,,,,,171,204,左 47.6%／右 52.4%,1.27,8.2,6.2,70,,4:16:00,175,04:35.2,4:35:00,177,60,62
7,02:29.5,30:12:00,0.56,4:28:00,,196,198,,,,,,,172,210,左 47.5%／右 52.5%,1.31,8.2,6,41,,3:56:00,174,02:29.5,4:28:00,177,60,62
1,05:50.6,05:50.6,1,5:28:00,,165,174,9,7,,,,,173,235,左 49.6%／右 50.4%,0.99,7.7,7.6,75,,0.204861111,186,05:50.6,0.24375,177,60,62
2,05:37.0,11:27,1,6:28:00,,173,185,0,0,,,,,176,224,左 49.9%／右 50.1%,1.01,7.5,7.2,76,,0.21875,180,5:36,0.233333333,177,60,62
3,00:13.0,11:40,0.05,7:28:00,,178,180,0,0,,,,,174,226,左 50.1%／右 49.9%,1.09,7.8,6.9,3,,0.218055556,176,00:13.0,0.195138889,177,60,62
1,00:22.6,00:22.6,0.15,2:35,,177,183,,,,,,,186,223,左 41.7%／右 58.3%,1.78,6.2,4.3,5,,2:09,255,0:12,1:22,177,60,62
1,00:28.5,00:28.5,0.15,3:14,,146,153,,,,,,,189,199,左 47.6%／右 52.4%,1.77,6.8,4.4,5,,2:14,225,0:28,3:11,177,60,62
1,00:24.1,00:24.1,0.15,2:45,,130,133,,,,,,,180,220,左 42.3%／右 57.7%,1.57,7.5,4.3,3,,1:58,202,0:23,2:37,177,60,62
1,00:24.3,00:24.3,0.14,3:00,,137,145,,9,,,,,189,210,左 45.5%／右 54.5%,1.66,5.3,3,4,,2:01,227,0:22,2:42,177,60,62
1,00:23.4,00:23.4,0.14,2:45,,138,158,,,,,,,176,207,左 49.8%／右 50.2%,1.66,6.3,3.5,4,,0:57,206,0:22,2:35,177,60,62
1,05:48.3,05:48.3,1,5:48,,154,164,6,10,,,,,171,234,左 49.9%／右 50.1%,1.02,7.8,7.3,70,,4:22,178,5:46,5:46,177,60,62
2,05:14.2,11:02,1,5:14,,171,180,8,7,,,,,172,218,左 49.5%／右 50.5%,1.12,8,7,69,,4:18,180,5:14,5:14,177,60,62
3,00:12.4,11:15,0.04,4:42,,173,175,--,--,,,,,173,218,左 49.7%／右 50.3%,1.08,7.9,7,2,,5:11,175,00:12.4,4:42,177,60,62
1,01:30.3,01:30.3,0.47,3:12,,139,161,6,7,,,,,181,214,左 41.8%／右 58.2%,1.63,7.5,4.7,15,,2:22,208,1:29,3:09,177,60,62
1,04:21.1,04:21.1,1,4:21,,155,169,9,3,,,,,173,201,左 45.2%／右 54.8%,1.33,9.3,6.7,52,,3:37,197,4:20,4:20,177,60,62
2,04:20.4,08:41.5,1,4:20,,179,188,--,3,,,,,174,208,左 41.9%／右 58.1%,1.33,8.3,6,60,,4:14,177,04:20.4,4:20,177,60,62
3,04:23.9,13:05,1,4:24,,186,191,1,--,,,,,173,208,左 41.5%／右 58.5%,1.34,8.3,6,64,,4:05,180,4:23,4:23,177,60,62
4,01:17.3,14:23,0.33,3:57,,193,198,--,--,,,,,174,220,左 39.8%／右 60.2%,1.43,8.2,5.5,20,,3:58,175,01:17.3,3:57,177,60,62
1,00:49.9,00:49.9,0.31,2:40,,123,142,,8,,,,,191,191,左 44.0%／右 56.0%,1.98,6.3,3.1,6,,1:45,238,0:46,2:28,177,60,62
1,04:18.9,04:18.9,1,4:19,,139,155,--,6,,,,,171,198,左 47.7%／右 52.3%,1.33,9.2,6.6,44,,4:07,198,4:17,4:17,177,60,62
2,04:35.8,08:54.8,1,4:36,,157,164,28,12,,,,,172,194,左 47.4%／右 52.6%,1.23,8.4,6.6,56,,4:11,176,04:35.8,4:36,177,60,62
3,05:52.8,14:48,1,5:53,,168,191,55,30,,,,,172,199,左 48.8%／右 51.2%,1.2,8.3,6.7,76,,4:19,190,5:52,5:52,177,60,62
4,04:51.0,19:39,1,4:51,,188,198,--,33,,,,,169,211,左 48.0%／右 52.0%,1.19,8.7,7.1,72,,4:19,171,04:51.0,4:51,177,60,62
5,00:03.9,19:42,0.01,5:06,,188,189,--,--,,,,,169,206,左 49.2%／右 50.8%,1.3,8.5,6.5,0,,4:41,169,00:03.9,5:06,177,60,62
1,04:21.5,04:21.5,1,4:22,,148,159,--,8,,,,,172,206,左 44.9%／右 55.1%,1.33,8.3,7.1,50,,4:12,175,4:17,4:17,177,60,62
2,04:34.8,08:56.2,1,4:35,,158,172,27,13,,,,,173,207,左 45.6%／右 54.4%,1.26,8,6.2,57,,3:50,175,04:34.8,4:35,177,60,62
3,04:42.5,13:39,1,4:42,,160,168,18,--,,,,,174,212,左 45.4%／右 54.6%,1.25,7.7,5.9,59,,4:23,176,04:42.5,4:43,177,60,62
4,04:45.7,18:24,1,4:46,,159,168,31,41,,,,,170,216,左 48.3%／右 51.7%,1.17,8.2,6.8,58,,4:09,174,4:44,4:44,177,60,62
5,04:25.9,22:50,1,4:26,,158,170,4,13,,,,,170,205,左 46.0%／右 54.0%,1.34,8.2,5.9,53,,3:56,174,4:23,4:23,177,60,62
6,01:13.1,24:03:00,0.28,4:20,,163,166,--,6,,,,,172,213,左 45.4%／右 54.6%,1.37,8.2,5.7,15,,4:05,174,1:13,4:20,177,60,62
1,04:51.9,04:51.9,1,4:52,,191,203,--,3,,,,,163,224,左 47.1%／右 52.9%,1.22,9.2,7.3,75,,3:17,177,4:51,4:51,177,60,62
2,02:31.8,07:23.7,0.52,4:50,,187,190,1,--,,,,,170,219,左 46.5%／右 53.5%,1.2,8.9,7.2,37,,4:49,174,02:31.8,4:50,177,60,62
1,05:27.1,05:27.1,1,5:27,,154,178,16,16,,,,,164,221,左 48.4%／右 51.6%,1.12,9.3,8.2,65,,4:55,172,05:27.1,5:27,177,60,62
2,05:11.3,10:38,0.98,5:19,,183,187,15,8,,,,,167,223,左 48.3%／右 51.7%,1.12,9.3,8.1,74,,5:14,171,5:11,5:19,177,60,62
1,04:58.0,04:58.0,1,4:58,,150,170,--,8,,,,,169,206,左 44.5%／右 55.5%,1.16,9.3,9.6,57,,4:33,175,4:52,4:52,177,60,62
2,04:39.8,09:37.8,1,4:40,,166,176,17,5,,,,,171,210,左 44.6%／右 55.4%,1.26,8.7,6.7,60,,4:27,173,04:39.8,4:40,177,60,62
3,04:52.1,14:30,1,4:52,,177,184,8,--,,,,,171,206,左 44.6%／右 55.4%,1.21,8.6,6.9,67,,4:44,173,4:52,4:52,177,60,62
4,05:08.7,19:39,1,5:09,,177,183,23,--,,,,,168,213,左 47.1%／右 52.9%,1.15,8.5,7.3,71,,4:53,174,05:08.7,5:09,177,60,62
5,04:53.7,24:32:00,1,4:54,,175,183,23,49,,,,,170,212,左 44.8%／右 55.2%,1.19,8.7,7,66,,4:31,172,04:53.7,4:54,177,60,62
6,04:49.9,29:22:00,1,4:50,,180,184,8,17,,,,,171,206,左 44.2%／右 55.8%,1.22,8.7,6.9,67,,4:35,173,04:49.9,4:50,177,60,62
7,00:16.3,29:39:00,0.08,3:35,,179,182,--,--,,,,,173,212,左 42.1%／右 57.9%,1.4,8.6,6.5,3,,3:30,175,0:16,3:30,177,60,62
1,05:04.3,05:04.3,1,5:04,,138,163,,,,,,,169,203,左 45.3%／右 54.8%,1.24,9.8,7.7,52,,3:37,178,4:59,4:59,177,60,62
2,04:46.9,09:51.2,1,4:47,,151,160,,,,,,,169,212,左 47.5%／右 52.5%,1.24,10.1,7.9,56,,3:47,177,04:46.9,4:47,177,60,62
3,04:51.1,14:42,1,4:51,,155,165,,,,,,,171,198,左 48.5%／右 51.5%,1.21,9.1,7.5,58,,3:51,177,4:51,4:51,177,60,62
4,04:48.6,19:31,1,4:49,,156,164,,,,,,,171,200,左 48.5%／右 51.5%,1.22,9,7.2,57,,4:22,180,4:48,4:48,177,60,62
5,04:47.5,24:18:00,1,4:47,,157,166,,,,,,,169,209,左 46.9%／右 53.1%,1.25,9.7,7.5,56,,4:09,182,04:47.5,4:47,177,60,62
6,00:09.3,24:28:00,0.03,5:40,,163,164,,,,,,,173,228,左 48.5%／右 51.5%,0.97,9.2,9.3,1,,4:35,175,0:09,5:29,177,60,62
1,05:07.9,05:07.9,1,5:08,,141,154,4,--,,,,,171,192,左 49.8%／右 50.2%,1.12,9.2,9.1,53,,4:52,175,5:01,5:01,177,60,62
2,04:45.6,09:53.4,1,4:46,,155,168,4,11,,,,,172,189,左 45.3%／右 54.7%,1.23,9.3,7.3,57,,4:25,175,04:45.6,4:46,177,60,62
3,04:56.8,14:50,1,4:57,,157,165,6,5,,,,,169,199,左 46.7%／右 53.3%,1.16,9.1,7.8,60,,4:27,174,04:56.8,4:57,177,60,62
4,04:49.4,19:40,1,4:49,,166,184,12,12,,,,,172,194,左 45.6%／右 54.4%,1.22,9.1,7.2,61,,4:25,176,4:48,4:48,177,60,62
5,05:11.3,24:51:00,1,5:11,,163,169,24,20,,,,,171,202,左 48.0%／右 52.0%,1.13,8.7,7.5,64,,4:54,174,5:11,5:11,177,60,62
6,05:10.8,30:02:00,1,5:11,,163,171,34,9,,,,,171,203,左 48.5%／右 51.5%,1.14,8.9,7.5,63,,4:51,175,05:10.8,5:11,177,60,62
7,05:17.8,35:19:00,1,5:18,,152,164,30,--,,,,,170,202,左 47.5%／右 52.5%,1.1,8.7,7.7,54,,4:45,174,05:17.8,5:18,177,60,62
8,04:46.6,40:06:00,1,4:47,,158,165,--,44,,,,,171,203,左 45.7%／右 54.3%,1.22,8.9,7.1,55,,4:07,175,04:46.6,4:47,177,60,62
9,04:48.9,44:55:00,1,4:49,,153,166,3,18,,,,,172,200,左 44.0%／右 56.0%,1.2,8.7,7.1,49,,4:31,174,04:48.9,4:49,177,60,62
10,04:52.8,49:48:00,1,4:53,,152,162,5,6,,,,,173,203,左 46.7%／右 53.3%,1.18,8.5,7,46,,4:47,176,04:52.8,4:53,177,60,62
11,00:26.2,50:14:00,0.09,4:38,,145,149,--,--,,,,,172,199,左 47.5%／右 52.5%,1.25,9,6.9,3,,4:41,173,0:25,4:25,177,60,62
1,03:35.2,03:35.2,1,3:35,,161,177,5,2,,,,,174,219,左 42.4%／右 57.6%,1.61,8.3,5.3,43,,3:01,180,3:33,3:33,177,60,62
2,03:55.8,07:31.0,1,3:56,,174,178,8,3,,,,,175,208,左 45.8%／右 54.2%,1.45,8.2,5.4,52,,3:51,177,03:55.8,3:56,177,60,62
3,03:57.0,11:28,1,3:57,,176,183,7,13,,,,,174,203,左 46.8%／右 53.2%,1.44,8.1,5.4,53,,3:46,176,03:57.0,3:57,177,60,62
1,01:09.7,01:09.7,0.45,2:36,,105,112,,5,,,,,183,162,左 49.7%／右 50.3%,1.5,6.4,6.4,6,,1:47,234,01:09.7,2:36,177,60,62
1,01:56.1,01:56.1,0.62,3:07,,133,160,7,6,,,,,185,209,左 43.3%／右 56.7%,1.72,7.1,4.7,18,,2:19,221,1:51,2:59,177,60,62
1,04:48.7,04:48.7,1,4:49,,151,172,,,,,,,172,211,左 47.1%／右 52.9%,1.23,9.2,7.4,55,,3:58,176,4:47,4:47,177,60,62
2,04:40.4,09:29.1,1,4:40,,160,170,,,,,,,172,208,左 46.0%／右 54.0%,1.25,9.5,7.4,58,,3:59,176,04:40.4,4:40,177,60,62
